,vix,spx
1991-03-05,20.45,1800.0
1991-03-06,20.55,1821.0
1991-03-07,21.05,1832.0
1991-03-08,20.81,1828.0
1991-03-11,20.88,1797.0
1991-03-12,18.82,1795.0
1991-03-13,16.09,1781.0
1991-03-14,14.94,1816.0
1991-03-15,14.9,1800.0
1991-03-18,15.79,1778.0
1991-03-19,16.11,1741.0
1991-03-20,16.04,1752.0
1991-03-21,16.86,1771.0
1991-03-22,16.49,1772.0
1991-03-25,16.76,1773.0
1991-03-26,16.31,1775.0
1991-03-27,16.55,1797.0
1991-03-28,16.88,1816.0
1991-04-02,17.4,1827.0
1991-04-03,17.61,1852.0
1991-04-04,18.01,1836.0
1991-04-05,17.63,1852.0
1991-04-08,17.41,1847.0
1991-04-09,20.12,1846.0
1991-04-10,19.73,1817.0
1991-04-11,17.24,1825.0
1991-04-12,18.45,1821.0
1991-04-15,16.5,1822.0
1991-04-16,15.82,1803.0
1991-04-17,15.47,1829.0
1991-04-18,16.26,1816.0
1991-04-19,15.68,1791.0
1991-04-22,16.78,1767.0
1991-04-23,17.02,1782.0
1991-04-24,16.72,1782.0
1991-04-25,17.15,1777.0
1991-04-26,17.27,1774.0
1991-04-29,18.27,1797.0
1991-04-30,18.24,1779.0
1991-05-02,17.52,1824.0
1991-05-03,17.24,1832.0
1991-05-06,17.92,1828.0
1991-05-07,17.46,1830.0
1991-05-10,17.54,1850.300048828125
1991-05-13,17.66,1834.5
1991-05-14,18.0,1805.5999755859375
1991-05-15,18.38,1802.5999755859375
1991-05-16,17.24,1826.300048828125
1991-05-17,16.64,1827.0
1991-05-21,16.07,1833.0999755859375
1991-05-22,16.16,1831.0999755859375
1991-05-23,16.11,1813.699951171875
1991-05-24,15.23,1804.800048828125
1991-05-28,15.67,1794.0999755859375
1991-05-29,15.9,1825.199951171875
1991-05-30,16.02,1837.0999755859375
1991-05-31,15.93,1861.800048828125
1991-06-03,16.87,1865.699951171875
1991-06-04,16.17,1851.300048828125
1991-06-05,16.4,1862.9000244140625
1991-06-06,16.93,1863.9000244140625
1991-06-07,16.98,1852.5
1991-06-10,17.47,1846.300048828125
1991-06-11,17.32,1874.800048828125
1991-06-12,17.72,1846.9000244140625
1991-06-13,16.99,1847.199951171875
1991-06-14,15.98,1858.199951171875
1991-06-17,15.5,1844.9000244140625
1991-06-18,16.14,1830.5999755859375
1991-06-19,17.44,1798.199951171875
1991-06-20,16.75,1793.699951171875
1991-06-21,16.51,1806.5999755859375
1991-06-24,18.28,1775.5999755859375
1991-06-25,17.85,1775.5
1991-06-26,17.98,1760.5
1991-06-27,17.87,1768.0
1991-06-28,19.55,1747.5999755859375
1991-07-01,18.64,1772.800048828125
1991-07-02,17.63,1750.5
1991-07-03,19.47,1718.0
1991-07-05,18.35,1723.0999755859375
1991-07-08,20.29,1714.300048828125
1991-07-09,19.76,1734.5
1991-07-10,19.19,1757.4000244140625
1991-07-11,17.39,1754.0
1991-07-12,18.29,1754.300048828125
1991-07-15,17.78,1759.800048828125
1991-07-16,17.49,1755.5
1991-07-17,17.52,1758.0999755859375
1991-07-18,15.77,1757.5
1991-07-19,15.5,1763.5
1991-07-22,16.9,1762.800048828125
1991-07-23,16.58,1768.9000244140625
1991-07-24,16.41,1778.0999755859375
1991-07-25,15.74,1780.0999755859375
1991-07-26,15.45,1767.699951171875
1991-07-29,15.67,1757.9000244140625
1991-07-30,15.47,1756.5999755859375
1991-07-31,15.18,1754.699951171875
1991-08-01,15.47,1766.800048828125
1991-08-02,15.26,1766.5
1991-08-05,15.92,1762.199951171875
1991-08-06,15.54,1759.5
1991-08-07,15.56,1782.4000244140625
1991-08-08,15.98,1789.5
1991-08-09,15.45,1783.5
1991-08-12,15.26,1780.4000244140625
1991-08-13,14.73,1808.800048828125
1991-08-14,15.09,1820.300048828125
1991-08-19,21.19,1687.5
1991-08-20,18.86,1725.5999755859375
